,name,reviews,link,ComUrl
135,Aztec Airways,7,https://www.tripadvisor.com/Airline_Review-d10533094-Reviews-Aztec-Airways,not now
136,Azul,13976,https://www.tripadvisor.com/Airline_Review-d8728972-Reviews-Azul,not now
137,Azur Air,1325,https://www.tripadvisor.com/Airline_Review-d13150560-Reviews-Azur-Air,not now
138,Bahamasair,425,https://www.tripadvisor.com/Airline_Review-d8729030-Reviews-Bahamasair,not now
139,Bamboo Airways,10,https://www.tripadvisor.com/Airline_Review-d17550096-Reviews-Bamboo-Airways,not now
140,Bangkok Airways,3991,https://www.tripadvisor.com/Airline_Review-d8729031-Reviews-Bangkok-Airways,not now
141,Bassaka Air,93,https://www.tripadvisor.com/Airline_Review-d10816874-Reviews-Bassaka-Air,not now
142,Batik Air,1012,https://www.tripadvisor.com/Airline_Review-d10661150-Reviews-Batik-Air,not now
143,Bayon Airlines,37,https://www.tripadvisor.com/Airline_Review-d10816888-Reviews-Bayon-Airlines,not now
144,Bearskin Airlines,5,https://www.tripadvisor.com/Airline_Review-d8728904-Reviews-Bearskin-Airlines,not now
145,Beijing Capital Airlines,74,https://www.tripadvisor.com/Airline_Review-d8729196-Reviews-Beijing-Capital-Airlines,not now
146,Bek Air,22,https://www.tripadvisor.com/Airline_Review-d12976995-Reviews-Bek-Air,not now
147,Belavia Belarusian Airlines,911,https://www.tripadvisor.com/Airline_Review-d8729032-Reviews-Belavia-Belarusian-Airlines,not now
148,BH Air,7,https://www.tripadvisor.com/Airline_Review-d17550097-Reviews-BH-Air,not now
149,Bhutan Airlines,125,https://www.tripadvisor.com/Airline_Review-d8728983-Reviews-Bhutan-Airlines,not now
150,Biman Bangladesh Airlines,304,https://www.tripadvisor.com/Airline_Review-d8729033-Reviews-Biman-Bangladesh-Airlines,not now
151,Binter,720,https://www.tripadvisor.com/Airline_Review-d8729034-Reviews-Binter,not now
152,Blue Air,2760,https://www.tripadvisor.com/Airline_Review-d8729035-Reviews-Blue-Air,not now
153,Blue Islands Air,84,https://www.tripadvisor.com/Airline_Review-d8729036-Reviews-Blue-Islands-Air,not now
154,Blue Panorama Airlines,3128,https://www.tripadvisor.com/Airline_Review-d8729037-Reviews-Blue-Panorama-Airlines,not now
155,Boliviana de Aviacion,371,https://www.tripadvisor.com/Airline_Review-d10661142-Reviews-Boliviana-De-Aviacion,not now
156,Borajet [no longer operating],33,https://www.tripadvisor.com/Airline_Review-d10823595-Reviews-Borajet-No-Longer-Operating,not now
157,Boutique Air,127,https://www.tripadvisor.com/Airline_Review-d12878329-Reviews-Boutique-Air,not now
158,BRA (Braathens Regional Airways AB),222,https://www.tripadvisor.com/Airline_Review-d10533100-Reviews-BRA-Braathens-Regional-Airways-AB,not now
159,British Airways,47109,https://www.tripadvisor.com/Airline_Review-d8729039-Reviews-British-Airways,not now
160,Brussels Airlines,6490,https://www.tripadvisor.com/Airline_Review-d8729040-Reviews-Brussels-Airlines,not now
